client_id,cutoff_date,target_next_recurring_merchant,llm_confidence
U000096,2026-01-01,cloud,0.5700000000000001
U000097,2026-01-01,mobile,0.8200000000000001
U000098,2026-01-01,cloud,0.55
U000099,2026-01-01,none,0.68
U000100,2026-01-01,cloud,0.6900000000000001
U000101,2026-01-01,software,0.65
U000102,2026-01-01,none,0.72
U000103,2026-01-01,mobile,0.66
U000104,2026-01-01,insurance,0.72
U000105,2026-01-01,insurance,0.5700000000000001
U000106,2026-01-01,streaming,0.78
U000107,2026-01-01,mobile,0.72
U000108,2026-01-01,mobile,0.64
U000109,2026-01-01,gym,0.68
U000110,2026-01-01,software,0.62
U000111,2026-01-01,streaming,0.52
U000112,2026-01-01,streaming,0.68
U000113,2026-01-01,none,0.58
U000114,2026-01-01,cloud,0.49
U000115,2026-01-01,gym,0.66
U000116,2026-01-01,none,0.68
U000117,2026-01-01,software,0.68
U000118,2026-01-01,software,0.72
U000119,2026-01-01,mobile,0.58
U000120,2026-01-01,insurance,0.65
U000121,2026-01-01,cloud,0.52
U000122,2026-01-01,gym,0.72
U000123,2026-01-01,music,0.52
U000124,2026-01-01,gym,0.78
U000125,2026-01-01,mobile,0.78
U000126,2026-01-01,mobile,0.5700000000000001
U000127,2026-01-01,software,0.65
U000128,2026-01-01,mobile,0.76
U000129,2026-01-01,music,0.66
U000130,2026-01-01,gym,0.68
U000131,2026-01-01,none,0.62
U000132,2026-01-01,gym,0.52
U000133,2026-01-01,gym,0.67
U000134,2026-01-01,none,0.66
U000135,2026-01-01,mobile,0.68
U000136,2026-01-01,music,0.78
U000137,2026-01-01,gym,0.72
U000138,2026-01-01,insurance,0.5700000000000001
U000139,2026-01-01,streaming,0.79
U000140,2026-01-01,cloud,0.55
U000141,2026-01-01,software,0.59
U000142,2026-01-01,streaming,0.68
U000143,2026-01-01,streaming,0.72
U000144,2026-01-01,software,0.88
U000145,2026-01-01,software,0.62
U000146,2026-01-01,cloud,0.84
U000147,2026-01-01,streaming,0.68
U000148,2026-01-01,mobile,0.68
U000149,2026-01-01,cloud,0.72
U000150,2026-01-01,cloud,0.52
U000151,2026-01-01,mobile,0.53
U000152,2026-01-01,mobile,0.8200000000000001
U000153,2026-01-01,cloud,0.59
U000154,2026-01-01,music,0.68
U000155,2026-01-01,none,0.58
U000156,2026-01-01,mobile,0.56
U000157,2026-01-01,software,0.6900000000000001
U000158,2026-01-01,software,0.62
U000159,2026-01-01,software,0.68
U000160,2026-01-01,cloud,0.54
U000161,2026-01-01,streaming,0.56
U000162,2026-01-01,none,0.43
U000163,2026-01-01,none,0.78
U000164,2026-01-01,software,0.72
U000165,2026-01-01,insurance,0.68
U000166,2026-01-01,mobile,0.63
U000167,2026-01-01,gym,0.68
U000168,2026-01-01,mobile,0.64
U000169,2026-01-01,software,0.62
U000170,2026-01-01,streaming,0.8200000000000001
U000171,2026-01-01,gym,0.72
U000172,2026-01-01,software,0.88
U000173,2026-01-01,music,0.5700000000000001
U000174,2026-01-01,none,0.52
U000175,2026-01-01,cloud,0.55
U000176,2026-01-01,insurance,0.58
U000177,2026-01-01,music,0.52
U000178,2026-01-01,music,0.67
U000179,2026-01-01,insurance,0.76
U000180,2026-01-01,cloud,0.88
U000181,2026-01-01,gym,0.84
U000182,2026-01-01,none,0.67
U000183,2026-01-01,software,0.78
U000184,2026-01-01,insurance,0.53
U000185,2026-01-01,cloud,0.56
U000186,2026-01-01,insurance,0.58
U000187,2026-01-01,cloud,0.65
U000188,2026-01-01,streaming,0.62
U000189,2026-01-01,music,0.76
U000190,2026-01-01,none,0.67
U000191,2026-01-01,cloud,0.62
U000192,2026-01-01,insurance,0.55
U000193,2026-01-01,mobile,0.68
U000194,2026-01-01,none,0.62
U000195,2026-01-01,insurance,0.72
U000196,2026-01-01,insurance,0.8200000000000001
U000197,2026-01-01,insurance,0.54
U000198,2026-01-01,none,0.62
U000199,2026-01-01,software,0.91
U000200,2026-01-01,music,0.8200000000000001
U000201,2026-01-01,mobile,0.63
U000202,2026-01-01,music,0.72
U000203,2026-01-01,gym,0.66
U000204,2026-01-01,software,0.72
U000205,2026-01-01,music,0.62
U000206,2026-01-01,software,0.53
U000207,2026-01-01,insurance,0.68
U000208,2026-01-01,none,0.78
U000209,2026-01-01,gym,0.62
U000210,2026-01-01,mobile,0.72
U000211,2026-01-01,insurance,0.8200000000000001
U000212,2026-01-01,mobile,0.62
U000213,2026-01-01,software,0.68
U000214,2026-01-01,none,0.8200000000000001
U000215,2026-01-01,streaming,0.55
U000216,2026-01-01,cloud,0.72
U000217,2026-01-01,none,0.5700000000000001
U000218,2026-01-01,music,0.56
U000219,2026-01-01,insurance,0.5700000000000001
U000220,2026-01-01,music,0.55
U000221,2026-01-01,streaming,0.47000000000000003
U000222,2026-01-01,insurance,0.66
U000223,2026-01-01,music,0.52
U000224,2026-01-01,music,0.49
U000225,2026-01-01,mobile,0.58
U000226,2026-01-01,gym,0.62
U000227,2026-01-01,software,0.62
U000228,2026-01-01,mobile,0.64
U000229,2026-01-01,none,0.6900000000000001
U000230,2026-01-01,software,0.75
U000231,2026-01-01,cloud,0.66
U000232,2026-01-01,none,0.52
U000233,2026-01-01,music,0.72
U000234,2026-01-01,gym,0.56
U000235,2026-01-01,software,0.56
U000236,2026-01-01,insurance,0.54
U000237,2026-01-01,music,0.76
U000238,2026-01-01,mobile,0.65
U000239,2026-01-01,software,0.56
U000240,2026-01-01,insurance,0.79
U000241,2026-01-01,insurance,0.5700000000000001
U000242,2026-01-01,gym,0.5700000000000001
U000243,2026-01-01,music,0.67
U000244,2026-01-01,cloud,0.56
U000245,2026-01-01,insurance,0.58
U000246,2026-01-01,insurance,0.6900000000000001
U000247,2026-01-01,mobile,0.79
U000248,2026-01-01,software,0.68
U000249,2026-01-01,music,0.79
U000250,2026-01-01,streaming,0.8200000000000001
U000251,2026-01-01,streaming,0.49
U000252,2026-01-01,music,0.5700000000000001
U000253,2026-01-01,cloud,0.68
U000254,2026-01-01,none,0.72
U000255,2026-01-01,mobile,0.58
U000256,2026-01-01,music,0.59
U000257,2026-01-01,none,0.76
U000258,2026-01-01,gym,0.56
U000259,2026-01-01,software,0.5700000000000001
U000260,2026-01-01,music,0.56
U000261,2026-01-01,cloud,0.78
U000262,2026-01-01,none,0.68
U000263,2026-01-01,cloud,0.56
U000264,2026-01-01,mobile,0.58
U000265,2026-01-01,music,0.78
U000266,2026-01-01,cloud,0.68
U000267,2026-01-01,mobile,0.62
U000268,2026-01-01,insurance,0.62
U000269,2026-01-01,none,0.78
U000270,2026-01-01,streaming,0.78
U000271,2026-01-01,gym,0.63
U000272,2026-01-01,mobile,0.67
U000273,2026-01-01,gym,0.68
U000274,2026-01-01,insurance,0.56
U000275,2026-01-01,gym,0.72
U000276,2026-01-01,none,0.78
U000277,2026-01-01,cloud,0.56
U000278,2026-01-01,cloud,0.58
U000279,2026-01-01,insurance,0.68
U000280,2026-01-01,gym,0.68
U000281,2026-01-01,mobile,0.68
U000282,2026-01-01,music,0.72
U000283,2026-01-01,music,0.68
U000284,2026-01-01,software,0.62
U000285,2026-01-01,insurance,0.68
U000286,2026-01-01,none,0.68
U000287,2026-01-01,mobile,0.75
U000288,2026-01-01,streaming,0.68
U000289,2026-01-01,streaming,0.88
U000290,2026-01-01,mobile,0.72
U000291,2026-01-01,gym,0.54
U000292,2026-01-01,music,0.73
U000293,2026-01-01,mobile,0.78
U000294,2026-01-01,streaming,0.72
U000295,2026-01-01,cloud,0.48
U000296,2026-01-01,streaming,0.6900000000000001
U000297,2026-01-01,music,0.87
U000298,2026-01-01,mobile,0.62
U000299,2026-01-01,software,0.67
U000300,2026-01-01,insurance,0.79
U000301,2026-01-01,music,0.78
U000302,2026-01-01,streaming,0.5700000000000001
U000303,2026-01-01,streaming,0.74
U000304,2026-01-01,music,0.59
U000305,2026-01-01,none,0.68
U000306,2026-01-01,none,0.76
U000307,2026-01-01,mobile,0.85
U000308,2026-01-01,music,0.84
U000309,2026-01-01,gym,0.62
U000310,2026-01-01,cloud,0.62
U000311,2026-01-01,none,0.8200000000000001
U000312,2026-01-01,music,0.68
U000313,2026-01-01,insurance,0.67
U000314,2026-01-01,mobile,0.72
U000315,2026-01-01,cloud,0.67
U000316,2026-01-01,cloud,0.64
U000317,2026-01-01,music,0.58
U000318,2026-01-01,gym,0.65
U000319,2026-01-01,software,0.76
U000320,2026-01-01,gym,0.56
U000321,2026-01-01,insurance,0.79
U000322,2026-01-01,software,0.68
U000323,2026-01-01,none,0.65
U000324,2026-01-01,cloud,0.48
U000325,2026-01-01,mobile,0.64
U000326,2026-01-01,cloud,0.5700000000000001
U000327,2026-01-01,mobile,0.66
U000328,2026-01-01,cloud,0.8300000000000001
U000329,2026-01-01,none,0.73
U000330,2026-01-01,cloud,0.5700000000000001
U000331,2026-01-01,none,0.66
U000332,2026-01-01,music,0.58
U000333,2026-01-01,none,0.46
U000334,2026-01-01,mobile,0.68
U000335,2026-01-01,music,0.5700000000000001
U000336,2026-01-01,software,0.76
U000337,2026-01-01,mobile,0.62
U000338,2026-01-01,gym,0.61
U000339,2026-01-01,insurance,0.8200000000000001
U000340,2026-01-01,none,0.78
U000341,2026-01-01,software,0.6900000000000001
U000342,2026-01-01,music,0.72
U000343,2026-01-01,gym,0.8200000000000001
U000344,2026-01-01,mobile,0.72
U000345,2026-01-01,software,0.66
U000346,2026-01-01,gym,0.6900000000000001
U000347,2026-01-01,insurance,0.8200000000000001
U000348,2026-01-01,music,0.54
U000349,2026-01-01,streaming,0.76
U000350,2026-01-01,software,0.6900000000000001
U000351,2026-01-01,cloud,0.62
U000352,2026-01-01,software,0.56
U000353,2026-01-01,mobile,0.66
U000354,2026-01-01,software,0.68
U000355,2026-01-01,mobile,0.54
U000356,2026-01-01,mobile,0.59
U000357,2026-01-01,streaming,0.54
U000358,2026-01-01,mobile,0.6900000000000001
U000359,2026-01-01,cloud,0.8200000000000001
U000360,2026-01-01,gym,0.72
U000361,2026-01-01,insurance,0.48
U000362,2026-01-01,mobile,0.58
U000363,2026-01-01,none,0.76
U000364,2026-01-01,cloud,0.53
U000365,2026-01-01,music,0.48
U000366,2026-01-01,software,0.53
U000367,2026-01-01,none,0.59
U000368,2026-01-01,gym,0.72
U000369,2026-01-01,music,0.8200000000000001
U000370,2026-01-01,mobile,0.78
U000371,2026-01-01,software,0.78
U000372,2026-01-01,insurance,0.59
U000373,2026-01-01,insurance,0.53
U000374,2026-01-01,software,0.97
U000375,2026-01-01,none,0.8200000000000001
U000376,2026-01-01,music,0.56
U000377,2026-01-01,insurance,0.74
U000378,2026-01-01,cloud,0.76
U000379,2026-01-01,streaming,0.58
U000380,2026-01-01,music,0.65
U000381,2026-01-01,music,0.68
U000382,2026-01-01,none,0.78
U000383,2026-01-01,mobile,0.67
U000384,2026-01-01,gym,0.68
U000385,2026-01-01,cloud,0.76
U000386,2026-01-01,cloud,0.55
U000387,2026-01-01,insurance,0.78
U000388,2026-01-01,software,0.49
U000389,2026-01-01,music,0.63
U000390,2026-01-01,none,0.72
U000391,2026-01-01,none,0.76
U000392,2026-01-01,cloud,0.58
U000393,2026-01-01,mobile,0.62
U000394,2026-01-01,music,0.86
U000395,2026-01-01,music,0.66
U000396,2026-01-01,gym,0.68
U000397,2026-01-01,insurance,0.78
U000398,2026-01-01,streaming,0.62
U000399,2026-01-01,streaming,0.59
U000400,2026-01-01,mobile,0.76
U000401,2026-01-01,cloud,0.53
U000402,2026-01-01,insurance,0.78
U000403,2026-01-01,cloud,0.43
U000404,2026-01-01,insurance,0.68
U000405,2026-01-01,cloud,0.62
U000406,2026-01-01,none,0.64
U000407,2026-01-01,software,0.62
U000408,2026-01-01,gym,0.58
U000409,2026-01-01,insurance,0.86
U000410,2026-01-01,software,0.5700000000000001
U000411,2026-01-01,streaming,0.5700000000000001
U000412,2026-01-01,mobile,0.76
U000413,2026-01-01,none,0.42
U000414,2026-01-01,cloud,0.61
U000415,2026-01-01,gym,0.46
U000416,2026-01-01,none,0.8200000000000001
U000417,2026-01-01,none,0.77
U000418,2026-01-01,software,0.53
U000419,2026-01-01,none,0.52
U000420,2026-01-01,mobile,0.44
U000421,2026-01-01,none,0.8200000000000001
U000422,2026-01-01,gym,0.5700000000000001
U000423,2026-01-01,cloud,0.56
U000424,2026-01-01,software,0.68
U000425,2026-01-01,cloud,0.76
U000426,2026-01-01,mobile,0.56
U000427,2026-01-01,gym,0.78
U000428,2026-01-01,streaming,0.66
U000429,2026-01-01,streaming,0.6900000000000001
U000430,2026-01-01,music,0.56
U000431,2026-01-01,insurance,0.66
U000432,2026-01-01,music,0.62
U000433,2026-01-01,insurance,0.62
U000434,2026-01-01,streaming,0.76
U000435,2026-01-01,insurance,0.68
U000436,2026-01-01,cloud,0.44
U000437,2026-01-01,music,0.72
U000438,2026-01-01,mobile,0.58
U000439,2026-01-01,streaming,0.78
U000440,2026-01-01,mobile,0.78
U000441,2026-01-01,music,0.68
U000442,2026-01-01,cloud,0.72
U000443,2026-01-01,none,0.68
U000444,2026-01-01,gym,0.66
U000445,2026-01-01,streaming,0.78
U000446,2026-01-01,insurance,0.68
U000447,2026-01-01,gym,0.68
U000448,2026-01-01,streaming,0.48
U000449,2026-01-01,none,0.58
U000450,2026-01-01,gym,0.62
U000451,2026-01-01,none,0.63
U000452,2026-01-01,none,0.64
U000453,2026-01-01,none,0.74
U000454,2026-01-01,music,0.75
U000455,2026-01-01,software,0.68
U000456,2026-01-01,insurance,0.62
U000457,2026-01-01,insurance,0.75
U000458,2026-01-01,software,0.68
U000459,2026-01-01,insurance,0.55
U000460,2026-01-01,mobile,0.59
U000461,2026-01-01,software,0.68
U000462,2026-01-01,mobile,0.66
U000463,2026-01-01,software,0.5700000000000001
U000464,2026-01-01,software,0.5700000000000001
U000465,2026-01-01,streaming,0.78
U000466,2026-01-01,none,0.77
U000467,2026-01-01,insurance,0.76
U000468,2026-01-01,mobile,0.68
U000469,2026-01-01,mobile,0.78
U000470,2026-01-01,streaming,0.68
U000471,2026-01-01,none,0.8300000000000001
U000472,2026-01-01,music,0.78
U000473,2026-01-01,none,0.58
U000474,2026-01-01,mobile,0.61
U000475,2026-01-01,software,0.78
U000476,2026-01-01,software,0.62
U000477,2026-01-01,none,0.72
U000478,2026-01-01,cloud,0.48
U000479,2026-01-01,insurance,0.5700000000000001
U000480,2026-01-01,streaming,0.43
U000481,2026-01-01,streaming,0.68
U000482,2026-01-01,none,0.72
U000483,2026-01-01,cloud,0.58
U000484,2026-01-01,streaming,0.53
U000485,2026-01-01,streaming,0.66
U000486,2026-01-01,cloud,0.73
U000487,2026-01-01,mobile,0.5700000000000001
U000488,2026-01-01,music,0.72
U000489,2026-01-01,streaming,0.43
U000490,2026-01-01,music,0.68
U000491,2026-01-01,software,0.6900000000000001
U000492,2026-01-01,none,0.49
U000493,2026-01-01,software,0.53
U000494,2026-01-01,none,0.66
U000495,2026-01-01,music,0.78
U000496,2026-01-01,none,0.5700000000000001
U000497,2026-01-01,cloud,0.52
U000498,2026-01-01,mobile,0.67
U000499,2026-01-01,none,0.65
U000500,2026-01-01,streaming,0.68
U000501,2026-01-01,software,0.72
U000502,2026-01-01,none,0.8200000000000001
U000503,2026-01-01,gym,0.68
U000504,2026-01-01,streaming,0.76
U000505,2026-01-01,gym,0.78
U000506,2026-01-01,music,0.56
U000507,2026-01-01,none,0.5700000000000001
U000508,2026-01-01,cloud,0.76
U000509,2026-01-01,software,0.66
U000510,2026-01-01,gym,0.58
U000511,2026-01-01,insurance,0.56
U000512,2026-01-01,insurance,0.72
U000513,2026-01-01,none,0.68
U000514,2026-01-01,software,0.66
U000515,2026-01-01,mobile,0.84
U000516,2026-01-01,cloud,0.56
U000517,2026-01-01,gym,0.84
U000518,2026-01-01,music,0.59
U000519,2026-01-01,cloud,0.62
U000520,2026-01-01,music,0.8200000000000001
U000521,2026-01-01,mobile,0.58
U000522,2026-01-01,cloud,0.62
U000523,2026-01-01,gym,0.64
U000524,2026-01-01,gym,0.58
U000525,2026-01-01,cloud,0.87
U000526,2026-01-01,mobile,0.68
U000527,2026-01-01,music,0.56
U000528,2026-01-01,none,0.63
U000529,2026-01-01,gym,0.68
U000530,2026-01-01,software,0.59
U000531,2026-01-01,mobile,0.8200000000000001
U000532,2026-01-01,mobile,0.62
U000533,2026-01-01,none,0.68
U000534,2026-01-01,mobile,0.78
U000535,2026-01-01,insurance,0.68
U000536,2026-01-01,mobile,0.53
U000537,2026-01-01,mobile,0.78
U000538,2026-01-01,none,0.62
U000539,2026-01-01,gym,0.72
U000540,2026-01-01,none,0.68
U000541,2026-01-01,none,0.72
U000542,2026-01-01,gym,0.72
U000543,2026-01-01,mobile,0.61
U000544,2026-01-01,mobile,0.5700000000000001
U000545,2026-01-01,gym,0.65
U000546,2026-01-01,music,0.61
U000547,2026-01-01,mobile,0.67
U000548,2026-01-01,streaming,0.78
U000549,2026-01-01,none,0.61
U000550,2026-01-01,mobile,0.56
U000551,2026-01-01,insurance,0.68
U000552,2026-01-01,insurance,0.8200000000000001
U000553,2026-01-01,streaming,0.72
U000554,2026-01-01,none,0.72
U000555,2026-01-01,gym,0.68
U000556,2026-01-01,gym,0.77
U000557,2026-01-01,streaming,0.54
U000558,2026-01-01,none,0.71
U000559,2026-01-01,insurance,0.87
U000560,2026-01-01,software,0.6900000000000001
U000561,2026-01-01,mobile,0.78
U000562,2026-01-01,cloud,0.58
U000563,2026-01-01,insurance,0.78
U000564,2026-01-01,cloud,0.58
U000565,2026-01-01,music,0.76
U000566,2026-01-01,mobile,0.56
U000567,2026-01-01,insurance,0.59
U000568,2026-01-01,mobile,0.56
U000569,2026-01-01,mobile,0.64
U000570,2026-01-01,music,0.59
U000571,2026-01-01,none,0.68
U000572,2026-01-01,streaming,0.8200000000000001
U000573,2026-01-01,gym,0.54
U000574,2026-01-01,insurance,0.75
U000575,2026-01-01,cloud,0.56
U000576,2026-01-01,cloud,0.56
U000577,2026-01-01,mobile,0.76
U000578,2026-01-01,insurance,0.58
U000579,2026-01-01,music,0.72
U000580,2026-01-01,cloud,0.56
U000581,2026-01-01,insurance,0.67
U000582,2026-01-01,mobile,0.56
U000583,2026-01-01,gym,0.62
U000584,2026-01-01,software,0.53
U000585,2026-01-01,software,0.78
U000586,2026-01-01,insurance,0.6900000000000001
U000587,2026-01-01,cloud,0.8200000000000001
U000588,2026-01-01,none,0.61
U000589,2026-01-01,none,0.78
U000590,2026-01-01,streaming,0.56
U000591,2026-01-01,mobile,0.6900000000000001
U000592,2026-01-01,cloud,0.6900000000000001
U000593,2026-01-01,streaming,0.62
U000594,2026-01-01,mobile,0.73
U000595,2026-01-01,none,0.78
U000596,2026-01-01,streaming,0.56
U000597,2026-01-01,software,0.78
U000598,2026-01-01,streaming,0.72
U000599,2026-01-01,cloud,0.48
U000600,2026-01-01,mobile,0.8200000000000001
U000601,2026-01-01,software,0.58
U000602,2026-01-01,none,0.76
U000603,2026-01-01,insurance,0.73
U000604,2026-01-01,none,0.68
U000605,2026-01-01,none,0.78
U000606,2026-01-01,mobile,0.61
U000607,2026-01-01,streaming,0.76
U000608,2026-01-01,software,0.5700000000000001
U000609,2026-01-01,music,0.67
U000610,2026-01-01,cloud,0.62
U000611,2026-01-01,mobile,0.72
U000612,2026-01-01,music,0.5700000000000001
U000613,2026-01-01,insurance,0.84
U000614,2026-01-01,mobile,0.64
U000615,2026-01-01,streaming,0.67
U000616,2026-01-01,streaming,0.47000000000000003
U000617,2026-01-01,streaming,0.68
U000618,2026-01-01,music,0.63
U000619,2026-01-01,none,0.55
U000620,2026-01-01,insurance,0.64
U000621,2026-01-01,streaming,0.62
U000622,2026-01-01,music,0.76
U000623,2026-01-01,cloud,0.59
U000624,2026-01-01,software,0.62
U000625,2026-01-01,none,0.53
U000626,2026-01-01,gym,0.68
U000627,2026-01-01,software,0.76
U000628,2026-01-01,none,0.8200000000000001
U000629,2026-01-01,streaming,0.78
U000630,2026-01-01,mobile,0.62
U000631,2026-01-01,insurance,0.58
U000632,2026-01-01,insurance,0.58
U000633,2026-01-01,gym,0.62
U000634,2026-01-01,mobile,0.66
U000635,2026-01-01,music,0.68
U000636,2026-01-01,cloud,0.76
U000637,2026-01-01,insurance,0.72
U000638,2026-01-01,mobile,0.68
U000639,2026-01-01,none,0.58
U000640,2026-01-01,cloud,0.63
U000641,2026-01-01,cloud,0.58
U000642,2026-01-01,none,0.68
U000643,2026-01-01,software,0.58
U000644,2026-01-01,mobile,0.56
U000645,2026-01-01,music,0.65
U000646,2026-01-01,gym,0.66
U000647,2026-01-01,gym,0.76
U000648,2026-01-01,none,0.72
U000649,2026-01-01,mobile,0.78
U000650,2026-01-01,none,0.76
U000651,2026-01-01,none,0.64
U000652,2026-01-01,none,0.64
U000653,2026-01-01,music,0.78
U000654,2026-01-01,music,0.72
U000655,2026-01-01,music,0.42
U000656,2026-01-01,cloud,0.76
U000657,2026-01-01,insurance,0.87
U000658,2026-01-01,none,0.79
U000659,2026-01-01,insurance,0.68
U000660,2026-01-01,insurance,0.76
U000661,2026-01-01,mobile,0.79
U000662,2026-01-01,gym,0.8200000000000001
U000663,2026-01-01,insurance,0.56
U000664,2026-01-01,music,0.8300000000000001
U000665,2026-01-01,music,0.51
U000666,2026-01-01,none,0.46
U000667,2026-01-01,mobile,0.68
U000668,2026-01-01,gym,0.67
U000669,2026-01-01,mobile,0.8200000000000001
U000670,2026-01-01,streaming,0.78
U000671,2026-01-01,none,0.68
U000672,2026-01-01,insurance,0.56
U000673,2026-01-01,music,0.84
U000674,2026-01-01,gym,0.91
U000675,2026-01-01,none,0.53
U000676,2026-01-01,none,0.43
U000677,2026-01-01,music,0.67
U000678,2026-01-01,insurance,0.66
U000679,2026-01-01,streaming,0.8300000000000001
U000680,2026-01-01,cloud,0.52
U000681,2026-01-01,mobile,0.67
U000682,2026-01-01,software,0.68
U000683,2026-01-01,mobile,0.78
U000684,2026-01-01,software,0.72
U000685,2026-01-01,none,0.62
U000686,2026-01-01,music,0.78
U000687,2026-01-01,cloud,0.79
U000688,2026-01-01,insurance,0.68
U000689,2026-01-01,mobile,0.8200000000000001
U000690,2026-01-01,gym,0.72
U000691,2026-01-01,none,0.59
U000692,2026-01-01,none,0.72
U000693,2026-01-01,insurance,0.74
U000694,2026-01-01,gym,0.54
U000695,2026-01-01,none,0.65
U000696,2026-01-01,gym,0.68
U000697,2026-01-01,software,0.49
U000698,2026-01-01,none,0.59
U000699,2026-01-01,gym,0.78
U000700,2026-01-01,cloud,0.66
U000701,2026-01-01,software,0.72
U000702,2026-01-01,insurance,0.48
U000703,2026-01-01,mobile,0.68
U000704,2026-01-01,cloud,0.84
U000705,2026-01-01,insurance,0.72
U000706,2026-01-01,none,0.72
U000707,2026-01-01,cloud,0.53
U000708,2026-01-01,gym,0.72
U000709,2026-01-01,music,0.74
U000710,2026-01-01,software,0.59
U000711,2026-01-01,none,0.64
U000712,2026-01-01,gym,0.72
U000713,2026-01-01,none,0.68
U000714,2026-01-01,music,0.68
U000715,2026-01-01,mobile,0.8200000000000001
U000716,2026-01-01,insurance,0.66
U000717,2026-01-01,software,0.5700000000000001
U000718,2026-01-01,none,0.5700000000000001
U000719,2026-01-01,software,0.48
U000720,2026-01-01,cloud,0.62
U000721,2026-01-01,streaming,0.78
U000722,2026-01-01,gym,0.53
U000723,2026-01-01,mobile,0.56
U000724,2026-01-01,mobile,0.59
U000725,2026-01-01,software,0.63
U000726,2026-01-01,none,0.67
U000727,2026-01-01,software,0.64
U000728,2026-01-01,music,0.66
U000729,2026-01-01,cloud,0.56
U000730,2026-01-01,music,0.62
U000731,2026-01-01,music,0.56
U000732,2026-01-01,gym,0.79
U000733,2026-01-01,music,0.68
U000734,2026-01-01,cloud,0.66
U000735,2026-01-01,streaming,0.68
U000736,2026-01-01,software,0.5700000000000001
U000737,2026-01-01,streaming,0.8200000000000001
U000738,2026-01-01,software,0.72
U000739,2026-01-01,cloud,0.47000000000000003
U000740,2026-01-01,music,0.48
U000741,2026-01-01,cloud,0.62
U000742,2026-01-01,music,0.68
U000743,2026-01-01,none,0.52
U000744,2026-01-01,mobile,0.59
