client_id,cutoff_date,target_next_recurring_merchant,confidence,label_unsup,label_chatgpt,label_trainonly,conf_unsup,conf_chatgpt,conf_trainonly,n_sources_agree
U000097,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.6976,0.8200000000000001,0.7991,3
U000098,2026-01-01,cloud,0.8111,none,cloud,mobile,0.5401,0.55,0.7301,1
U000099,2026-01-01,none,0.8789,cloud,none,none,0.5396,0.68,0.5333,2
U000100,2026-01-01,cloud,0.9964,none,cloud,cloud,0.317,0.6900000000000001,0.3048,2
U000101,2026-01-01,software,0.9973,none,software,software,0.4531,0.65,0.518,2
U000102,2026-01-01,none,0.9872,none,none,none,0.7576,0.72,0.7773,3
U000103,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.446,0.66,0.4279,3
U000104,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.6886,0.72,0.7774,3
U000105,2026-01-01,insurance,0.9919,music,insurance,insurance,0.3594,0.5700000000000001,0.7385,2
U000106,2026-01-01,none,0.666,none,streaming,none,1.0,0.78,0.8626,2
U000107,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.5946,0.72,0.6113,3
U000108,2026-01-01,mobile,0.8277,mobile,mobile,none,0.3937,0.64,0.487,2
U000109,2026-01-01,gym,0.9996,gym,gym,gym,0.711,0.68,0.785,3
U000110,2026-01-01,none,0.4957,insurance,software,none,0.4129,0.62,0.9999,1
U000111,2026-01-01,streaming,0.995,insurance,streaming,streaming,0.3802,0.52,0.535,2
U000112,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.2888,0.68,0.4851,3
U000113,2026-01-01,mobile,0.9921,mobile,none,mobile,0.6976,0.58,0.8503,2
U000114,2026-01-01,cloud,0.9948,software,cloud,cloud,0.4515,0.49,0.5083,2
U000115,2026-01-01,gym,0.9996,gym,gym,gym,1.0,0.66,0.8855,3
U000116,2026-01-01,none,0.9872,none,none,none,0.488,0.68,0.9998,3
U000117,2026-01-01,none,0.6107,none,software,none,0.3749,0.68,0.6383,2
U000118,2026-01-01,software,0.9903,mobile,software,software,0.4461,0.72,0.6493,2
U000119,2026-01-01,mobile,0.4103,cloud,mobile,none,0.4968,0.58,0.3263,1
U000120,2026-01-01,mobile,0.5863,streaming,insurance,mobile,0.2934,0.65,0.634,1
U000121,2026-01-01,software,0.5393,none,cloud,software,0.4439,0.52,0.3594,1
U000122,2026-01-01,gym,0.99,none,gym,gym,0.4026,0.72,0.612,2
U000123,2026-01-01,music,0.5619,insurance,music,none,0.3828,0.52,0.9875,1
U000124,2026-01-01,gym,0.9996,gym,gym,gym,0.9164,0.78,0.7065,3
U000125,2026-01-01,mobile,0.9892,streaming,mobile,mobile,0.3102,0.78,0.4405,2
U000126,2026-01-01,mobile,0.9892,streaming,mobile,mobile,0.3396,0.5700000000000001,0.6578,2
U000127,2026-01-01,software,0.9904,insurance,software,software,0.5935,0.65,0.5465,2
U000128,2026-01-01,mobile,0.9948,none,mobile,mobile,0.6498,0.76,0.8564,2
U000129,2026-01-01,music,0.9999,music,music,music,0.2902,0.66,0.6718,3
U000130,2026-01-01,gym,0.99,none,gym,gym,0.4447,0.68,0.4162,2
U000131,2026-01-01,none,0.9872,none,none,none,0.7576,0.62,0.9947,3
U000132,2026-01-01,gym,0.987,insurance,gym,gym,0.4275,0.52,0.5189,2
U000133,2026-01-01,none,0.6555,software,gym,none,0.2887,0.67,0.807,1
U000134,2026-01-01,cloud,0.9942,cloud,none,cloud,0.5,0.66,0.6401,2
U000135,2026-01-01,gym,0.9484,gym,mobile,gym,0.5343,0.68,0.4903,2
U000136,2026-01-01,music,0.9999,music,music,music,0.5029,0.78,0.9009,3
U000137,2026-01-01,gym,0.7401,gym,gym,software,0.3988,0.72,0.7628,2
U000138,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.5843,0.5700000000000001,0.6333,3
U000139,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.6626,0.79,0.5274,3
U000140,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.5,0.55,0.815,3
U000141,2026-01-01,software,0.9249,software,software,gym,0.4305,0.59,0.439,2
U000142,2026-01-01,none,0.666,none,streaming,none,0.3016,0.68,0.9457,2
U000143,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.6142,0.72,0.7346,3
U000144,2026-01-01,software,0.9973,none,software,software,0.5057,0.88,0.4649,2
U000145,2026-01-01,music,0.9477,music,software,music,0.4234,0.62,0.4136,2
U000146,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.8686,0.84,0.5454,3
U000147,2026-01-01,streaming,0.9944,mobile,streaming,streaming,0.5449,0.68,0.5617,2
U000148,2026-01-01,mobile,0.9948,none,mobile,mobile,0.283,0.68,0.487,2
U000149,2026-01-01,none,0.8343,none,cloud,none,0.2786,0.72,0.7518,2
U000150,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.4183,0.52,0.8529,3
U000151,2026-01-01,insurance,0.9394,insurance,mobile,insurance,0.5613,0.53,0.448,2
U000152,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.7537,0.8200000000000001,0.864,3
U000153,2026-01-01,none,0.646,software,cloud,none,0.4637,0.59,0.849,1
U000154,2026-01-01,music,0.9969,gym,music,music,0.314,0.68,0.437,2
U000155,2026-01-01,none,0.8561,music,none,none,0.2891,0.58,0.6489,2
U000156,2026-01-01,insurance,0.5609,none,mobile,insurance,0.2224,0.56,0.3081,1
U000157,2026-01-01,software,0.9971,gym,software,software,0.4136,0.6900000000000001,0.5028,2
U000158,2026-01-01,software,0.9973,none,software,software,0.623,0.62,0.9189,2
U000159,2026-01-01,software,0.9951,streaming,software,software,0.5196,0.68,0.5851,2
U000160,2026-01-01,cloud,0.8111,none,cloud,mobile,0.2964,0.54,0.4816,1
U000161,2026-01-01,streaming,0.9965,none,streaming,streaming,0.3226,0.56,0.2926,2
U000162,2026-01-01,streaming,0.9833,streaming,none,streaming,0.4154,0.43,0.5919,2
U000163,2026-01-01,none,0.9872,none,none,none,0.7576,0.78,0.9897,3
U000164,2026-01-01,software,0.9996,software,software,software,0.3909,0.72,0.5704,3
U000165,2026-01-01,insurance,0.5261,none,insurance,cloud,0.4406,0.68,0.3629,1
U000166,2026-01-01,mobile,0.9997,mobile,mobile,mobile,1.0,0.63,0.9106,3
U000167,2026-01-01,gym,0.987,insurance,gym,gym,0.2939,0.68,0.5571,2
U000168,2026-01-01,mobile,0.8506,mobile,mobile,insurance,0.5569,0.64,0.5262,2
U000169,2026-01-01,none,0.6107,none,software,none,0.6127,0.62,0.8837,2
U000170,2026-01-01,streaming,0.9965,none,streaming,streaming,0.5,0.8200000000000001,0.5337,2
U000171,2026-01-01,gym,0.8344,gym,gym,none,0.3333,0.72,0.5906,2
U000172,2026-01-01,none,0.6107,none,software,none,0.4254,0.88,0.9916,2
U000173,2026-01-01,music,0.728,mobile,music,none,0.3375,0.5700000000000001,0.5104,1
U000174,2026-01-01,none,0.8789,cloud,none,none,0.4158,0.52,0.9985,2
U000175,2026-01-01,cloud,0.9956,music,cloud,cloud,0.3732,0.55,0.6496,2
U000176,2026-01-01,insurance,0.9977,none,insurance,insurance,0.3209,0.58,0.7357,2
U000177,2026-01-01,music,0.9687,music,music,none,0.3752,0.52,0.985,2
U000178,2026-01-01,music,0.9046,music,music,software,0.3523,0.67,0.4459,2
U000179,2026-01-01,none,0.6112,none,insurance,none,0.3846,0.76,0.6542,2
U000180,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.8374,0.88,0.8982,3
U000181,2026-01-01,gym,0.9996,gym,gym,gym,0.4075,0.84,0.5209,3
U000182,2026-01-01,none,0.9872,none,none,none,0.4214,0.67,0.9999,3
U000183,2026-01-01,software,0.9996,software,software,software,0.4408,0.78,0.4109,3
U000184,2026-01-01,insurance,0.9962,streaming,insurance,insurance,0.5873,0.53,0.6341,2
U000185,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.385,0.56,0.881,3
U000186,2026-01-01,insurance,0.9919,music,insurance,insurance,0.2716,0.58,0.5413,2
U000187,2026-01-01,cloud,0.8893,cloud,cloud,none,0.4018,0.65,0.6864,2
U000188,2026-01-01,cloud,0.5381,insurance,streaming,cloud,0.2693,0.62,0.5017,1
U000189,2026-01-01,music,0.5619,insurance,music,none,0.3444,0.76,0.6717,1
U000190,2026-01-01,none,0.9872,none,none,none,0.3977,0.67,0.9997,3
U000191,2026-01-01,cloud,0.9948,software,cloud,cloud,0.3361,0.62,0.5344,2
U000192,2026-01-01,insurance,0.9365,insurance,insurance,none,0.3741,0.55,0.9616,2
U000193,2026-01-01,software,0.7475,none,mobile,software,0.3754,0.68,0.4673,1
U000194,2026-01-01,software,0.97,software,none,software,0.5427,0.62,0.8263,2
U000195,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.4033,0.72,0.4128,3
U000196,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.3978,0.8200000000000001,0.8409,3
U000197,2026-01-01,cloud,0.4719,music,insurance,cloud,0.3373,0.54,0.5433,1
U000198,2026-01-01,none,0.9872,none,none,none,0.8333,0.62,0.9964,3
U000199,2026-01-01,none,0.6107,none,software,none,0.4862,0.91,0.9581,2
U000200,2026-01-01,music,0.9999,music,music,music,0.4528,0.8200000000000001,0.6158,3
U000201,2026-01-01,mobile,0.9948,none,mobile,mobile,0.3528,0.63,0.6049,2
U000202,2026-01-01,music,0.9969,gym,music,music,0.2637,0.72,0.4619,2
U000203,2026-01-01,gym,0.987,insurance,gym,gym,0.2838,0.66,0.6324,2
U000204,2026-01-01,software,0.9937,music,software,software,0.4783,0.72,0.6542,2
U000205,2026-01-01,music,0.9943,insurance,music,music,0.324,0.62,0.7807,2
U000206,2026-01-01,software,0.8578,software,software,none,0.4672,0.53,0.9968,2
U000207,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.4197,0.68,0.4717,3
U000208,2026-01-01,none,0.9872,none,none,none,0.7576,0.78,0.843,3
U000209,2026-01-01,none,0.8193,none,gym,none,0.537,0.62,0.9995,2
U000210,2026-01-01,mobile,0.9892,streaming,mobile,mobile,0.637,0.72,0.5,2
U000211,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.5,0.8200000000000001,0.8977,3
U000212,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.3557,0.62,0.7871,3
U000213,2026-01-01,software,0.9973,none,software,software,0.719,0.68,0.5242,2
U000214,2026-01-01,none,0.9872,none,none,none,0.7576,0.8200000000000001,0.9781,3
U000215,2026-01-01,none,0.666,none,streaming,none,0.2924,0.55,0.9998,2
U000216,2026-01-01,cloud,0.9964,none,cloud,cloud,0.5297,0.72,0.7997,2
U000217,2026-01-01,none,0.9872,none,none,none,0.3631,0.5700000000000001,0.9785,3
U000218,2026-01-01,music,0.9094,music,music,insurance,0.5892,0.56,0.5472,2
U000219,2026-01-01,music,0.4482,cloud,insurance,music,0.36,0.5700000000000001,0.3891,1
U000220,2026-01-01,music,0.9971,mobile,music,music,0.403,0.55,0.4057,2
U000221,2026-01-01,none,0.666,none,streaming,none,0.2039,0.47,0.65,2
U000222,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.354,0.66,0.4213,3
U000223,2026-01-01,software,0.6281,gym,music,software,0.3814,0.52,0.763,1
U000224,2026-01-01,music,0.9952,none,music,music,0.274,0.49,0.3708,2
U000225,2026-01-01,software,0.7475,none,mobile,software,0.5936,0.58,0.6186,1
U000226,2026-01-01,gym,0.8344,gym,gym,none,1.0,0.62,0.7305,2
U000227,2026-01-01,insurance,0.9686,insurance,software,insurance,0.3909,0.62,0.2936,2
U000228,2026-01-01,none,0.4386,streaming,mobile,none,0.4823,0.64,0.9931,1
U000229,2026-01-01,none,0.8561,music,none,none,0.2948,0.6900000000000001,0.9948,2
U000230,2026-01-01,software,0.9996,software,software,software,0.3359,0.75,0.4619,3
U000231,2026-01-01,insurance,0.744,none,cloud,insurance,0.4306,0.66,0.3696,1
U000232,2026-01-01,insurance,0.9881,insurance,none,insurance,0.8003,0.52,0.8441,2
U000233,2026-01-01,music,0.9952,none,music,music,0.3098,0.72,0.4617,2
U000234,2026-01-01,insurance,0.9754,insurance,gym,insurance,0.5834,0.56,0.5371,2
U000235,2026-01-01,none,0.6107,none,software,none,0.4152,0.56,0.9918,2
U000236,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.6025,0.54,0.7683,3
U000237,2026-01-01,music,0.9999,music,music,music,0.4828,0.76,0.5133,3
U000238,2026-01-01,streaming,0.781,gym,mobile,streaming,0.441,0.65,0.6069,1
U000239,2026-01-01,software,0.9973,none,software,software,0.4645,0.56,0.7308,2
U000240,2026-01-01,insurance,0.9582,insurance,insurance,gym,0.3821,0.79,0.4394,2
U000241,2026-01-01,insurance,0.9365,insurance,insurance,none,0.4667,0.5700000000000001,0.4581,2
U000242,2026-01-01,gym,0.9785,mobile,gym,gym,0.3343,0.5700000000000001,0.6446,2
U000243,2026-01-01,music,0.9167,music,music,mobile,0.3545,0.67,0.3095,2
U000244,2026-01-01,cloud,0.8893,cloud,cloud,none,0.5,0.56,0.6889,2
U000245,2026-01-01,cloud,0.9589,cloud,insurance,cloud,0.6662,0.58,0.6679,2
U000246,2026-01-01,insurance,0.9977,none,insurance,insurance,0.4385,0.6900000000000001,0.756,2
U000247,2026-01-01,mobile,0.9877,cloud,mobile,mobile,1.0,0.79,0.9056,2
U000248,2026-01-01,software,0.9951,streaming,software,software,0.4393,0.68,0.6439,2
U000249,2026-01-01,music,0.9999,music,music,music,0.7616,0.79,0.7827,3
U000250,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.7207,0.8200000000000001,0.9108,3
U000251,2026-01-01,streaming,0.9962,gym,streaming,streaming,0.4691,0.49,0.4096,2
U000252,2026-01-01,music,0.9969,gym,music,music,0.4675,0.5700000000000001,0.6985,2
U000253,2026-01-01,cloud,0.9946,streaming,cloud,cloud,0.3829,0.68,0.6117,2
U000254,2026-01-01,none,0.9872,none,none,none,0.7576,0.72,0.9886,3
U000255,2026-01-01,none,0.8525,none,mobile,none,0.464,0.58,0.624,2
U000256,2026-01-01,music,0.9687,music,music,none,0.515,0.59,0.8709,2
U000257,2026-01-01,none,0.9872,none,none,none,0.7576,0.76,0.9852,3
U000258,2026-01-01,insurance,0.8325,none,gym,insurance,0.3848,0.56,0.4706,1
U000259,2026-01-01,software,0.9973,none,software,software,0.2932,0.5700000000000001,0.3423,2
U000260,2026-01-01,music,0.5619,insurance,music,none,0.5843,0.56,0.8153,1
U000261,2026-01-01,none,0.8343,none,cloud,none,0.458,0.78,0.9809,2
U000262,2026-01-01,none,0.8834,streaming,none,none,0.7512,0.68,0.6029,2
U000263,2026-01-01,cloud,0.9964,none,cloud,cloud,0.3541,0.56,0.6422,2
U000264,2026-01-01,mobile,0.8286,mobile,mobile,streaming,0.4924,0.58,0.6237,2
U000265,2026-01-01,music,0.9999,music,music,music,0.427,0.78,0.5983,3
U000266,2026-01-01,streaming,0.9481,streaming,cloud,streaming,0.5447,0.68,0.6241,2
U000267,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.5659,0.62,0.8132,3
U000268,2026-01-01,insurance,0.9977,none,insurance,insurance,0.2607,0.62,0.6592,2
U000269,2026-01-01,none,0.9872,none,none,none,0.7576,0.78,0.9986,3
U000270,2026-01-01,streaming,0.9475,streaming,streaming,none,0.371,0.78,0.9719,2
U000271,2026-01-01,gym,0.987,insurance,gym,gym,0.3745,0.63,0.4273,2
U000272,2026-01-01,mobile,0.7391,cloud,mobile,insurance,0.3651,0.67,0.3771,1
U000273,2026-01-01,gym,0.9996,gym,gym,gym,0.3512,0.68,0.4408,3
U000274,2026-01-01,software,0.7887,none,insurance,software,0.3268,0.56,0.4276,1
U000275,2026-01-01,none,0.4327,insurance,gym,none,0.4605,0.72,0.33,1
U000276,2026-01-01,none,0.9872,none,none,none,0.7576,0.78,0.8417,3
U000277,2026-01-01,cloud,0.9948,software,cloud,cloud,0.3019,0.56,0.4825,2
U000278,2026-01-01,cloud,0.8111,none,cloud,mobile,0.4167,0.58,0.512,1
U000279,2026-01-01,insurance,0.9582,insurance,insurance,gym,0.3837,0.68,0.3395,2
U000280,2026-01-01,gym,0.9891,cloud,gym,gym,0.5265,0.68,0.5102,2
U000281,2026-01-01,cloud,0.9704,cloud,mobile,cloud,0.5531,0.68,0.7367,2
U000282,2026-01-01,music,0.9943,insurance,music,music,0.3788,0.72,0.425,2
U000283,2026-01-01,music,0.9687,music,music,none,0.2836,0.68,0.7031,2
U000284,2026-01-01,cloud,0.9651,cloud,software,cloud,0.4371,0.62,0.4136,2
U000285,2026-01-01,insurance,0.9977,none,insurance,insurance,0.3212,0.68,0.4538,2
U000286,2026-01-01,cloud,0.9942,cloud,none,cloud,0.7331,0.68,0.8064,2
U000287,2026-01-01,mobile,0.9868,software,mobile,mobile,0.5999,0.75,0.8895,2
U000288,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.3361,0.68,0.5523,3
U000289,2026-01-01,streaming,0.9962,gym,streaming,streaming,0.7493,0.88,0.7653,2
U000290,2026-01-01,mobile,0.9948,none,mobile,mobile,0.5857,0.72,0.4571,2
U000291,2026-01-01,gym,0.988,streaming,gym,gym,0.363,0.54,0.3256,2
U000292,2026-01-01,music,0.9932,streaming,music,music,0.4599,0.73,0.4391,2
U000293,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.4776,0.78,0.6718,3
U000294,2026-01-01,streaming,0.995,insurance,streaming,streaming,0.5277,0.72,0.6358,2
U000295,2026-01-01,none,0.8343,none,cloud,none,0.5402,0.48,0.5712,2
U000296,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.5418,0.6900000000000001,0.8948,3
U000297,2026-01-01,music,0.9952,none,music,music,1.0,0.87,0.7219,2
U000298,2026-01-01,mobile,0.9877,cloud,mobile,mobile,0.5527,0.62,0.5183,2
U000299,2026-01-01,software,0.9996,software,software,software,0.5063,0.67,0.7486,3
U000300,2026-01-01,insurance,0.9977,none,insurance,insurance,0.3416,0.79,0.6001,2
U000301,2026-01-01,music,0.9943,insurance,music,music,0.3224,0.78,0.3635,2
U000302,2026-01-01,streaming,0.9427,streaming,streaming,mobile,0.4257,0.5700000000000001,0.6583,2
U000303,2026-01-01,streaming,0.9949,music,streaming,streaming,0.3518,0.74,0.6209,2
U000304,2026-01-01,streaming,0.5478,insurance,music,streaming,0.327,0.59,0.306,1
U000305,2026-01-01,none,0.9872,none,none,none,0.4064,0.68,0.9943,3
U000306,2026-01-01,none,0.9872,none,none,none,0.8,0.76,0.9511,3
U000307,2026-01-01,mobile,0.9877,cloud,mobile,mobile,0.4023,0.85,0.5806,2
U000308,2026-01-01,music,0.9999,music,music,music,0.6147,0.84,0.4073,3
U000309,2026-01-01,gym,0.9996,gym,gym,gym,0.7393,0.62,0.525,3
U000310,2026-01-01,streaming,0.9481,streaming,cloud,streaming,0.2954,0.62,0.4514,2
U000311,2026-01-01,none,0.9872,none,none,none,0.7576,0.8200000000000001,0.975,3
U000312,2026-01-01,mobile,0.8649,mobile,music,mobile,0.3983,0.68,0.5099,2
