client_id,cluster,persona
C000198,3,High-velocity spenders
C000201,1,Transfer & cash movers
C000202,3,High-velocity spenders
C000203,0,Subscription regulars
C000205,1,Transfer & cash movers
C000206,3,High-velocity spenders
C000207,0,Subscription regulars
C000210,3,High-velocity spenders
C000212,3,High-velocity spenders
C000214,2,Low-key everyday users
C000218,3,High-velocity spenders
C000219,2,Low-key everyday users
C000222,0,Subscription regulars
C000223,0,Subscription regulars
C000226,1,Transfer & cash movers
C000228,3,High-velocity spenders
C000230,0,Subscription regulars
C000233,3,High-velocity spenders
C000234,3,High-velocity spenders
C000235,2,Low-key everyday users
C000236,3,High-velocity spenders
C000237,3,High-velocity spenders
C000238,1,Transfer & cash movers
C000239,0,Subscription regulars
C000240,1,Transfer & cash movers
C000242,0,Subscription regulars
C000245,3,High-velocity spenders
C000246,1,Transfer & cash movers
C000248,0,Subscription regulars
C000249,1,Transfer & cash movers
C000250,0,Subscription regulars
C000252,3,High-velocity spenders
C000254,1,Transfer & cash movers
C000257,1,Transfer & cash movers
C000259,3,High-velocity spenders
C000261,1,Transfer & cash movers
C000262,2,Low-key everyday users
C000263,3,High-velocity spenders
C000264,1,Transfer & cash movers
C000265,1,Transfer & cash movers
C000270,1,Transfer & cash movers
C000271,3,High-velocity spenders
C000272,3,High-velocity spenders
C000274,1,Transfer & cash movers
C000275,0,Subscription regulars
C000276,0,Subscription regulars
C000281,0,Subscription regulars
C000283,1,Transfer & cash movers
C000284,1,Transfer & cash movers
C000285,3,High-velocity spenders
C000286,3,High-velocity spenders
C000290,2,Low-key everyday users
C000292,1,Transfer & cash movers
C000295,1,Transfer & cash movers
C000296,1,Transfer & cash movers
C000297,0,Subscription regulars
C000302,1,Transfer & cash movers
C000306,1,Transfer & cash movers
C000310,0,Subscription regulars
C000311,1,Transfer & cash movers
C000313,0,Subscription regulars
C000319,3,High-velocity spenders
C000322,3,High-velocity spenders
C000323,0,Subscription regulars
C000324,3,High-velocity spenders
C000326,1,Transfer & cash movers
C000330,3,High-velocity spenders
C000332,0,Subscription regulars
C000336,0,Subscription regulars
C000338,0,Subscription regulars
C000339,1,Transfer & cash movers
C000342,0,Subscription regulars
C000343,3,High-velocity spenders
C000348,1,Transfer & cash movers
C000350,3,High-velocity spenders
C000351,0,Subscription regulars
C000352,1,Transfer & cash movers
C000353,1,Transfer & cash movers
C000356,0,Subscription regulars
C000358,2,Low-key everyday users
C000361,3,High-velocity spenders
C000363,0,Subscription regulars
C000364,2,Low-key everyday users
C000369,1,Transfer & cash movers
C000372,1,Transfer & cash movers
C000375,0,Subscription regulars
C000376,2,Low-key everyday users
C000381,1,Transfer & cash movers
C000382,3,High-velocity spenders
C000387,0,Subscription regulars
C000388,0,Subscription regulars
C000389,2,Low-key everyday users
C000390,0,Subscription regulars
C000392,0,Subscription regulars
C000394,2,Low-key everyday users
C000400,0,Subscription regulars
C000401,1,Transfer & cash movers
C000403,0,Subscription regulars
C000406,0,Subscription regulars
C000407,1,Transfer & cash movers
C000408,2,Low-key everyday users
C000410,0,Subscription regulars
C000414,1,Transfer & cash movers
C000417,1,Transfer & cash movers
C000418,1,Transfer & cash movers
C000420,3,High-velocity spenders
C000422,0,Subscription regulars
C000424,2,Low-key everyday users
C000425,1,Transfer & cash movers
C000426,2,Low-key everyday users
C000427,0,Subscription regulars
C000428,1,Transfer & cash movers
C000431,1,Transfer & cash movers
C000433,3,High-velocity spenders
C000434,1,Transfer & cash movers
C000436,3,High-velocity spenders
C000437,1,Transfer & cash movers
C000438,3,High-velocity spenders
C000443,3,High-velocity spenders
C000445,1,Transfer & cash movers
C000446,3,High-velocity spenders
C000447,3,High-velocity spenders
C000448,3,High-velocity spenders
C000452,3,High-velocity spenders
C000453,3,High-velocity spenders
C000454,0,Subscription regulars
C000455,3,High-velocity spenders
C000456,0,Subscription regulars
C000457,1,Transfer & cash movers
C000458,1,Transfer & cash movers
C000461,0,Subscription regulars
C000462,0,Subscription regulars
C000464,0,Subscription regulars
C000465,3,High-velocity spenders
C000468,3,High-velocity spenders
C000469,3,High-velocity spenders
C000470,1,Transfer & cash movers
C000471,1,Transfer & cash movers
C000472,2,Low-key everyday users
C000473,3,High-velocity spenders
C000475,1,Transfer & cash movers
C000477,3,High-velocity spenders
C000481,3,High-velocity spenders
C000482,1,Transfer & cash movers
C000484,3,High-velocity spenders
C000492,3,High-velocity spenders
C000493,0,Subscription regulars
C000497,3,High-velocity spenders
C000498,1,Transfer & cash movers
C000502,3,High-velocity spenders
C000503,0,Subscription regulars
C000504,0,Subscription regulars
C000506,0,Subscription regulars
C000508,0,Subscription regulars
C000509,3,High-velocity spenders
C000511,3,High-velocity spenders
C000512,0,Subscription regulars
C000513,1,Transfer & cash movers
C000516,0,Subscription regulars
C000518,3,High-velocity spenders
C000521,0,Subscription regulars
C000523,0,Subscription regulars
C000526,0,Subscription regulars
C000529,0,Subscription regulars
C000531,0,Subscription regulars
C000532,0,Subscription regulars
C000534,3,High-velocity spenders
C000536,3,High-velocity spenders
C000539,0,Subscription regulars
C000540,2,Low-key everyday users
C000543,0,Subscription regulars
C000544,1,Transfer & cash movers
C000548,3,High-velocity spenders
C000549,0,Subscription regulars
C000550,2,Low-key everyday users
C000551,3,High-velocity spenders
C000552,1,Transfer & cash movers
C000555,0,Subscription regulars
C000556,0,Subscription regulars
C000557,0,Subscription regulars
C000558,2,Low-key everyday users
C000559,3,High-velocity spenders
C000561,2,Low-key everyday users
C000563,2,Low-key everyday users
C000564,3,High-velocity spenders
C000567,1,Transfer & cash movers
C000579,0,Subscription regulars
C000580,3,High-velocity spenders
C000586,0,Subscription regulars
C000587,3,High-velocity spenders
C000588,2,Low-key everyday users
C000592,0,Subscription regulars
C000596,1,Transfer & cash movers
C000597,0,Subscription regulars
C000599,1,Transfer & cash movers
C000600,0,Subscription regulars
C000602,3,High-velocity spenders
C000605,3,High-velocity spenders
C000606,1,Transfer & cash movers
C000607,1,Transfer & cash movers
C000609,0,Subscription regulars
C000612,3,High-velocity spenders
C000615,3,High-velocity spenders
C000617,3,High-velocity spenders
C000618,3,High-velocity spenders
C000620,2,Low-key everyday users
C000621,1,Transfer & cash movers
C000622,3,High-velocity spenders
C000624,1,Transfer & cash movers
C000626,3,High-velocity spenders
C000627,0,Subscription regulars
C000629,3,High-velocity spenders
C000630,2,Low-key everyday users
C000633,0,Subscription regulars
C000636,1,Transfer & cash movers
C000638,0,Subscription regulars
C000639,0,Subscription regulars
C000640,2,Low-key everyday users
C000641,3,High-velocity spenders
C000644,0,Subscription regulars
C000645,3,High-velocity spenders
C000647,0,Subscription regulars
C000648,1,Transfer & cash movers
C000649,3,High-velocity spenders
C000651,3,High-velocity spenders
C000652,3,High-velocity spenders
C000657,1,Transfer & cash movers
C000660,0,Subscription regulars
C000665,1,Transfer & cash movers
C000666,2,Low-key everyday users
C000667,0,Subscription regulars
C000668,0,Subscription regulars
C000669,2,Low-key everyday users
C000670,0,Subscription regulars
C000672,2,Low-key everyday users
C000675,1,Transfer & cash movers
C000677,2,Low-key everyday users
C000678,1,Transfer & cash movers
C000679,3,High-velocity spenders
C000680,3,High-velocity spenders
C000681,1,Transfer & cash movers
C000682,3,High-velocity spenders
C000683,0,Subscription regulars
C000684,0,Subscription regulars
C000694,2,Low-key everyday users
C000696,1,Transfer & cash movers
C000699,1,Transfer & cash movers
C000700,0,Subscription regulars
C000701,3,High-velocity spenders
C000702,0,Subscription regulars
C000705,1,Transfer & cash movers
C000707,3,High-velocity spenders
C000709,3,High-velocity spenders
C000712,3,High-velocity spenders
C000713,3,High-velocity spenders
C000717,0,Subscription regulars
C000721,3,High-velocity spenders
C000725,0,Subscription regulars
C000728,3,High-velocity spenders
C000732,2,Low-key everyday users
C000734,1,Transfer & cash movers
C000735,3,High-velocity spenders
C000737,3,High-velocity spenders
C000738,2,Low-key everyday users
C000743,0,Subscription regulars
C000746,0,Subscription regulars
C000747,1,Transfer & cash movers
C000749,0,Subscription regulars
C000750,1,Transfer & cash movers
C000756,1,Transfer & cash movers
C000758,1,Transfer & cash movers
C000761,0,Subscription regulars
C000763,3,High-velocity spenders
C000764,3,High-velocity spenders
C000766,1,Transfer & cash movers
C000769,1,Transfer & cash movers
C000771,1,Transfer & cash movers
C000772,0,Subscription regulars
C000775,1,Transfer & cash movers
C000776,1,Transfer & cash movers
C000778,0,Subscription regulars
C000781,0,Subscription regulars
C000783,1,Transfer & cash movers
C000787,0,Subscription regulars
C000792,2,Low-key everyday users
C000793,2,Low-key everyday users
C000794,3,High-velocity spenders
C000799,1,Transfer & cash movers
C000800,1,Transfer & cash movers
C000805,3,High-velocity spenders
C000807,3,High-velocity spenders
C000808,1,Transfer & cash movers
C000815,1,Transfer & cash movers
C000819,3,High-velocity spenders
C000821,1,Transfer & cash movers
C000822,3,High-velocity spenders
C000823,3,High-velocity spenders
C000826,0,Subscription regulars
C000827,3,High-velocity spenders
C000829,1,Transfer & cash movers
C000831,3,High-velocity spenders
C000832,0,Subscription regulars
C000835,3,High-velocity spenders
C000836,3,High-velocity spenders
C000837,3,High-velocity spenders
C000840,1,Transfer & cash movers
C000841,0,Subscription regulars
C000842,0,Subscription regulars
C000843,1,Transfer & cash movers
C000844,3,High-velocity spenders
C000850,1,Transfer & cash movers
C000851,0,Subscription regulars
C000854,3,High-velocity spenders
C000856,1,Transfer & cash movers
C000857,0,Subscription regulars
C000858,0,Subscription regulars
C000859,1,Transfer & cash movers
C000862,3,High-velocity spenders
C000865,1,Transfer & cash movers
C000868,1,Transfer & cash movers
C000873,0,Subscription regulars
C000874,3,High-velocity spenders
C000877,3,High-velocity spenders
C000878,3,High-velocity spenders
C000880,1,Transfer & cash movers
C000883,3,High-velocity spenders
C000885,3,High-velocity spenders
C000886,3,High-velocity spenders
C000887,3,High-velocity spenders
C000889,0,Subscription regulars
C000891,3,High-velocity spenders
C000892,3,High-velocity spenders
C000894,0,Subscription regulars
C000895,1,Transfer & cash movers
C000901,1,Transfer & cash movers
C000903,0,Subscription regulars
C000904,0,Subscription regulars
C000905,1,Transfer & cash movers
C000907,0,Subscription regulars
C000911,3,High-velocity spenders
C000912,0,Subscription regulars
C000914,1,Transfer & cash movers
C000916,0,Subscription regulars
C000917,0,Subscription regulars
C000920,1,Transfer & cash movers
C000921,0,Subscription regulars
C000922,2,Low-key everyday users
C000923,0,Subscription regulars
C000926,0,Subscription regulars
C000927,3,High-velocity spenders
C000930,1,Transfer & cash movers
C000931,1,Transfer & cash movers
C000932,3,High-velocity spenders
C000933,1,Transfer & cash movers
C000936,3,High-velocity spenders
C000938,3,High-velocity spenders
C000942,3,High-velocity spenders
C000948,3,High-velocity spenders
C000949,3,High-velocity spenders
C000950,3,High-velocity spenders
C000951,1,Transfer & cash movers
C000954,3,High-velocity spenders
C000956,0,Subscription regulars
C000957,3,High-velocity spenders
C000958,1,Transfer & cash movers
C000959,1,Transfer & cash movers
C000964,3,High-velocity spenders
C000965,1,Transfer & cash movers
C000966,0,Subscription regulars
C000967,0,Subscription regulars
C000968,0,Subscription regulars
C000971,3,High-velocity spenders
C000972,2,Low-key everyday users
C000974,3,High-velocity spenders
C000975,0,Subscription regulars
C000977,1,Transfer & cash movers
C000980,0,Subscription regulars
C000981,2,Low-key everyday users
C000983,3,High-velocity spenders
C000985,3,High-velocity spenders
C000988,1,Transfer & cash movers
C000990,0,Subscription regulars
C000993,3,High-velocity spenders
C000994,0,Subscription regulars
C000996,3,High-velocity spenders
C000997,1,Transfer & cash movers
C000998,1,Transfer & cash movers
C000999,2,Low-key everyday users
C001000,2,Low-key everyday users
C001002,3,High-velocity spenders
C001004,0,Subscription regulars
C001006,1,Transfer & cash movers
C001008,1,Transfer & cash movers
C001013,1,Transfer & cash movers
C001018,1,Transfer & cash movers
C001020,3,High-velocity spenders
C001021,3,High-velocity spenders
C001022,0,Subscription regulars
C001024,3,High-velocity spenders
C001027,3,High-velocity spenders
C001028,3,High-velocity spenders
C001029,0,Subscription regulars
C001030,2,Low-key everyday users
C001033,3,High-velocity spenders
C001035,0,Subscription regulars
C001037,0,Subscription regulars
C001038,0,Subscription regulars
C001040,3,High-velocity spenders
C001043,3,High-velocity spenders
C001046,0,Subscription regulars
C001050,3,High-velocity spenders
C001051,3,High-velocity spenders
C001055,1,Transfer & cash movers
C001056,3,High-velocity spenders
C001060,1,Transfer & cash movers
C001061,2,Low-key everyday users
C001062,0,Subscription regulars
C001063,1,Transfer & cash movers
C001064,1,Transfer & cash movers
C001066,1,Transfer & cash movers
C001067,0,Subscription regulars
C001068,0,Subscription regulars
C001072,3,High-velocity spenders
C001074,1,Transfer & cash movers
C001075,0,Subscription regulars
C001077,0,Subscription regulars
C001080,1,Transfer & cash movers
C001084,3,High-velocity spenders
C001086,0,Subscription regulars
C001088,0,Subscription regulars
C001090,1,Transfer & cash movers
C001092,0,Subscription regulars
C001093,1,Transfer & cash movers
C001095,2,Low-key everyday users
C001096,0,Subscription regulars
C001098,3,High-velocity spenders
C001100,1,Transfer & cash movers
C001102,1,Transfer & cash movers
C001106,3,High-velocity spenders
C001108,0,Subscription regulars
C001109,0,Subscription regulars
C001110,2,Low-key everyday users
C001112,0,Subscription regulars
C001113,0,Subscription regulars
C001115,0,Subscription regulars
C001119,2,Low-key everyday users
C001120,0,Subscription regulars
C001121,0,Subscription regulars
C001122,0,Subscription regulars
C001123,0,Subscription regulars
C001129,3,High-velocity spenders
C001130,0,Subscription regulars
C001132,3,High-velocity spenders
C001134,3,High-velocity spenders
C001135,1,Transfer & cash movers
C001136,3,High-velocity spenders
C001138,0,Subscription regulars
C001139,1,Transfer & cash movers
C001140,3,High-velocity spenders
C001141,1,Transfer & cash movers
C001143,3,High-velocity spenders
C001147,1,Transfer & cash movers
C001148,0,Subscription regulars
C001149,3,High-velocity spenders
C001151,0,Subscription regulars
C001152,0,Subscription regulars
C001153,0,Subscription regulars
C001154,0,Subscription regulars
C001156,1,Transfer & cash movers
C001157,0,Subscription regulars
C001160,1,Transfer & cash movers
C001164,3,High-velocity spenders
C001165,2,Low-key everyday users
C001168,0,Subscription regulars
C001170,2,Low-key everyday users
C001171,0,Subscription regulars
C001172,0,Subscription regulars
C001173,3,High-velocity spenders
C001174,3,High-velocity spenders
C001175,3,High-velocity spenders
C001176,3,High-velocity spenders
C001181,3,High-velocity spenders
C001182,1,Transfer & cash movers
C001183,3,High-velocity spenders
C001184,1,Transfer & cash movers
C001185,0,Subscription regulars
C001188,2,Low-key everyday users
C001191,3,High-velocity spenders
C001192,1,Transfer & cash movers
C001194,1,Transfer & cash movers
C001202,2,Low-key everyday users
C001203,0,Subscription regulars
C001204,3,High-velocity spenders
C001207,2,Low-key everyday users
C001209,0,Subscription regulars
C001210,3,High-velocity spenders
C001211,0,Subscription regulars
C001214,3,High-velocity spenders
C001216,3,High-velocity spenders
C001220,2,Low-key everyday users
C001221,2,Low-key everyday users
C001222,3,High-velocity spenders
C001223,3,High-velocity spenders
C001224,0,Subscription regulars
C001225,0,Subscription regulars
C001229,3,High-velocity spenders
C001230,3,High-velocity spenders
C001232,0,Subscription regulars
C001234,1,Transfer & cash movers
C001237,2,Low-key everyday users
C001238,0,Subscription regulars
C001239,2,Low-key everyday users
C001241,1,Transfer & cash movers
C001243,2,Low-key everyday users
C001244,0,Subscription regulars
C001248,2,Low-key everyday users
C001249,0,Subscription regulars
C001252,3,High-velocity spenders
C001254,2,Low-key everyday users
C001255,3,High-velocity spenders
C001256,0,Subscription regulars
C001258,0,Subscription regulars
C001260,0,Subscription regulars
C001265,3,High-velocity spenders
C001266,3,High-velocity spenders
C001267,1,Transfer & cash movers
C001268,0,Subscription regulars
C001269,1,Transfer & cash movers
C001271,2,Low-key everyday users
C001272,3,High-velocity spenders
C001275,1,Transfer & cash movers
C001276,1,Transfer & cash movers
C001279,3,High-velocity spenders
C001280,3,High-velocity spenders
C001283,1,Transfer & cash movers
C001284,1,Transfer & cash movers
C001288,3,High-velocity spenders
C001289,1,Transfer & cash movers
C001290,1,Transfer & cash movers
C001291,0,Subscription regulars
C001292,2,Low-key everyday users
C001293,2,Low-key everyday users
C001294,1,Transfer & cash movers
C001299,0,Subscription regulars
C001301,0,Subscription regulars
C001306,1,Transfer & cash movers
C001307,3,High-velocity spenders
C001308,0,Subscription regulars
C001310,3,High-velocity spenders
C001312,3,High-velocity spenders
C001316,0,Subscription regulars
C001317,0,Subscription regulars
C001318,1,Transfer & cash movers
C001320,0,Subscription regulars
C001321,1,Transfer & cash movers
C001322,3,High-velocity spenders
C001323,3,High-velocity spenders
C001324,2,Low-key everyday users
C001326,0,Subscription regulars
C001328,3,High-velocity spenders
C001331,3,High-velocity spenders
C001335,2,Low-key everyday users
C001336,0,Subscription regulars
C001337,3,High-velocity spenders
C001340,1,Transfer & cash movers
C001345,0,Subscription regulars
C001347,1,Transfer & cash movers
C001348,0,Subscription regulars
C001351,3,High-velocity spenders
C001354,2,Low-key everyday users
C001355,1,Transfer & cash movers
C001356,1,Transfer & cash movers
C001359,2,Low-key everyday users
C001361,1,Transfer & cash movers
C001364,0,Subscription regulars
C001366,1,Transfer & cash movers
C001367,1,Transfer & cash movers
C001374,1,Transfer & cash movers
C001377,1,Transfer & cash movers
C001378,0,Subscription regulars
C001380,0,Subscription regulars
C001382,1,Transfer & cash movers
C001385,2,Low-key everyday users
C001386,3,High-velocity spenders
C001389,3,High-velocity spenders
C001391,3,High-velocity spenders
C001397,0,Subscription regulars
C001399,3,High-velocity spenders
C001400,1,Transfer & cash movers
C001402,2,Low-key everyday users
C001406,2,Low-key everyday users
C001408,1,Transfer & cash movers
C001409,0,Subscription regulars
C001410,3,High-velocity spenders
C001413,3,High-velocity spenders
C001414,3,High-velocity spenders
C001415,0,Subscription regulars
C001416,1,Transfer & cash movers
C001417,1,Transfer & cash movers
C001419,0,Subscription regulars
C001420,0,Subscription regulars
C001421,0,Subscription regulars
C001422,0,Subscription regulars
C001424,3,High-velocity spenders
C001427,0,Subscription regulars
C001428,3,High-velocity spenders
C001433,3,High-velocity spenders
C001436,1,Transfer & cash movers
C001437,1,Transfer & cash movers
C001439,3,High-velocity spenders
C001440,1,Transfer & cash movers
C001441,0,Subscription regulars
C001442,1,Transfer & cash movers
C001444,1,Transfer & cash movers
C001445,1,Transfer & cash movers
C001446,3,High-velocity spenders
C001448,3,High-velocity spenders
C001449,3,High-velocity spenders
C001450,2,Low-key everyday users
C001451,1,Transfer & cash movers
C001452,3,High-velocity spenders
C001453,1,Transfer & cash movers
C001457,0,Subscription regulars
C001458,2,Low-key everyday users
C001459,0,Subscription regulars
C001460,0,Subscription regulars
C001461,1,Transfer & cash movers
C001462,0,Subscription regulars
C001463,1,Transfer & cash movers
C001467,2,Low-key everyday users
C001469,3,High-velocity spenders
C001470,0,Subscription regulars
C001472,0,Subscription regulars
C001474,0,Subscription regulars
C001475,1,Transfer & cash movers
C001484,3,High-velocity spenders
C001485,3,High-velocity spenders
C001486,1,Transfer & cash movers
C001487,3,High-velocity spenders
C001492,2,Low-key everyday users
C001493,3,High-velocity spenders
C001497,3,High-velocity spenders
C001498,3,High-velocity spenders
C001499,0,Subscription regulars
C001500,3,High-velocity spenders
C001501,2,Low-key everyday users
C001503,0,Subscription regulars
C001504,1,Transfer & cash movers
C001506,3,High-velocity spenders
C001509,0,Subscription regulars
C001513,1,Transfer & cash movers
C001514,3,High-velocity spenders
C001516,3,High-velocity spenders
C001517,3,High-velocity spenders
C001520,1,Transfer & cash movers
C001524,0,Subscription regulars
C001525,1,Transfer & cash movers
C001526,1,Transfer & cash movers
C001527,3,High-velocity spenders
C001530,1,Transfer & cash movers
C001533,3,High-velocity spenders
C001536,2,Low-key everyday users
C001540,3,High-velocity spenders
C001548,3,High-velocity spenders
C001549,2,Low-key everyday users
C001554,0,Subscription regulars
C001555,0,Subscription regulars
C001560,1,Transfer & cash movers
C001561,1,Transfer & cash movers
C001564,3,High-velocity spenders
C001567,0,Subscription regulars
C001569,1,Transfer & cash movers
C001570,3,High-velocity spenders
C001571,3,High-velocity spenders
C001572,0,Subscription regulars
C001574,0,Subscription regulars
C001575,0,Subscription regulars
C001576,0,Subscription regulars
C001577,3,High-velocity spenders
C001578,0,Subscription regulars
C001581,3,High-velocity spenders
C001582,3,High-velocity spenders
C001583,2,Low-key everyday users
C001584,2,Low-key everyday users
C001585,0,Subscription regulars
C001587,0,Subscription regulars
C001589,3,High-velocity spenders
C001590,3,High-velocity spenders
C001591,0,Subscription regulars
C001592,1,Transfer & cash movers
C001593,1,Transfer & cash movers
C001594,1,Transfer & cash movers
C001599,2,Low-key everyday users
C001600,1,Transfer & cash movers
C001601,3,High-velocity spenders
C001602,1,Transfer & cash movers
C001604,2,Low-key everyday users
C001607,1,Transfer & cash movers
C001608,1,Transfer & cash movers
C001613,0,Subscription regulars
C001614,2,Low-key everyday users
C001615,3,High-velocity spenders
C001616,0,Subscription regulars
C001617,3,High-velocity spenders
C001618,1,Transfer & cash movers
C001621,0,Subscription regulars
C001624,2,Low-key everyday users
C001625,0,Subscription regulars
C001626,1,Transfer & cash movers
C001627,3,High-velocity spenders
C001631,1,Transfer & cash movers
C001634,1,Transfer & cash movers
C001635,3,High-velocity spenders
C001639,2,Low-key everyday users
C001640,3,High-velocity spenders
C001641,2,Low-key everyday users
C001642,1,Transfer & cash movers
C001644,0,Subscription regulars
C001645,1,Transfer & cash movers
C001648,1,Transfer & cash movers
C001650,3,High-velocity spenders
C001655,0,Subscription regulars
C001656,3,High-velocity spenders
C001660,2,Low-key everyday users
C001662,0,Subscription regulars
C001664,0,Subscription regulars
C001665,2,Low-key everyday users
C001666,1,Transfer & cash movers
C001668,0,Subscription regulars
C001670,0,Subscription regulars
C001672,1,Transfer & cash movers
C001673,3,High-velocity spenders
C001674,3,High-velocity spenders
C001676,0,Subscription regulars
C001678,1,Transfer & cash movers
C001680,1,Transfer & cash movers
C001681,1,Transfer & cash movers
C001682,1,Transfer & cash movers
C001686,0,Subscription regulars
C001692,1,Transfer & cash movers
C001695,1,Transfer & cash movers
C001697,1,Transfer & cash movers
C001699,3,High-velocity spenders
C001700,2,Low-key everyday users
C001703,1,Transfer & cash movers
C001704,0,Subscription regulars
C001705,3,High-velocity spenders
C001706,3,High-velocity spenders
C001707,0,Subscription regulars
C001708,1,Transfer & cash movers
C001710,0,Subscription regulars
C001712,3,High-velocity spenders
C001713,0,Subscription regulars
C001715,0,Subscription regulars
C001717,1,Transfer & cash movers
C001718,3,High-velocity spenders
C001719,1,Transfer & cash movers
C001720,2,Low-key everyday users
C001721,2,Low-key everyday users
C001723,1,Transfer & cash movers
C001724,1,Transfer & cash movers
C001732,0,Subscription regulars
C001734,2,Low-key everyday users
C001735,0,Subscription regulars
C001736,1,Transfer & cash movers
C001737,3,High-velocity spenders
C001740,1,Transfer & cash movers
C001742,1,Transfer & cash movers
C001744,3,High-velocity spenders
C001749,3,High-velocity spenders
C001751,1,Transfer & cash movers
C001753,0,Subscription regulars
C001755,1,Transfer & cash movers
C001757,2,Low-key everyday users
C001758,0,Subscription regulars
C001760,1,Transfer & cash movers
C001762,1,Transfer & cash movers
C001765,1,Transfer & cash movers
C001766,1,Transfer & cash movers
C001768,0,Subscription regulars
C001772,2,Low-key everyday users
C001773,1,Transfer & cash movers
C001778,3,High-velocity spenders
C001779,3,High-velocity spenders
C001785,0,Subscription regulars
C001787,3,High-velocity spenders
C001788,1,Transfer & cash movers
C001789,2,Low-key everyday users
C001791,1,Transfer & cash movers
C001792,2,Low-key everyday users
C001793,3,High-velocity spenders
C001794,3,High-velocity spenders
C001795,0,Subscription regulars
C001797,1,Transfer & cash movers
C001799,0,Subscription regulars
C001801,2,Low-key everyday users
C001802,2,Low-key everyday users
C001806,1,Transfer & cash movers
C001809,3,High-velocity spenders
C001810,1,Transfer & cash movers
C001813,1,Transfer & cash movers
C001815,1,Transfer & cash movers
C001817,1,Transfer & cash movers
C001818,1,Transfer & cash movers
C001820,1,Transfer & cash movers
C001824,3,High-velocity spenders
C001826,2,Low-key everyday users
C001827,1,Transfer & cash movers
C001832,0,Subscription regulars
C001834,1,Transfer & cash movers
C001838,1,Transfer & cash movers
C001840,2,Low-key everyday users
C001841,2,Low-key everyday users
C001843,3,High-velocity spenders
C001844,3,High-velocity spenders
C001846,1,Transfer & cash movers
C001848,3,High-velocity spenders
C001849,1,Transfer & cash movers
C001850,0,Subscription regulars
C001851,3,High-velocity spenders
C001854,1,Transfer & cash movers
C001855,0,Subscription regulars
C001856,1,Transfer & cash movers
C001857,3,High-velocity spenders
C001859,0,Subscription regulars
